num_nodes,med,std_dev,impl
1K,1755.13182673603,28.6981512660749,Dense
2K,1824.21610224992,5.2155367118908,Dense
3K,1905.32148582861,5.70987963904551,Dense
4K,2039.52769655734,11.9628711845191,Dense
5K,2628.1851734966,13.7142117299709,Dense
6K,3371.30925431848,12.3924919025732,Dense
7K,4282.80112426728,14.3793291014184,Dense
8K,5262.1551649645,13.6810159409595,Dense
9K,6434.58449933678,15.02207766264,Dense
10K,7662.43634792045,14.9216465240641,Dense
11K,9078.00756627694,14.7409707497002,Dense
12K,10552.2222626023,29.6397988123337,Dense
1K,308.637793641537,10.1281227445964,Sparse COO
2K,385.015392675996,11.1609972440974,Sparse COO
3K,676.102659199387,17.1091237130753,Sparse COO
4K,1069.68269310892,15.5439050200022,Sparse COO
5K,1422.54377529025,15.2304891923107,Sparse COO
6K,1736.06664640829,14.6123522071689,Sparse COO
7K,2100.2663327381,13.8858636570111,Sparse COO
8K,2422.31132928282,14.2840115977826,Sparse COO
9K,2518.49087839946,12.6222495958167,Sparse COO
10K,2981.49707261473,15.6156528588375,Sparse COO
11K,3294.78366533294,16.7893293759918,Sparse COO
12K,3540.18369456753,13.998813540235,Sparse COO
1K,311.274354811758,5.1065877188173,Sparse CSR
2K,313.406524248421,3.74768038231526,Sparse CSR
3K,410.801318008453,12.8488352431673,Sparse CSR
4K,463.856413494796,12.4443720936957,Sparse CSR
5K,632.045688573271,15.234264390065,Sparse CSR
6K,727.338071446866,14.8220481073296,Sparse CSR
7K,845.324500929564,15.7517231495535,Sparse CSR
8K,959.503701422364,15.9786204802341,Sparse CSR
9K,1032.64868585393,15.0945095415441,Sparse CSR
10K,1174.47207681835,13.6407546190753,Sparse CSR
11K,1261.48240081966,15.7342886758235,Sparse CSR
12K,1336.8304874748,12.9987498452247,Sparse CSR
1K,15.5710950493813,15.7439383998429,Baseline (iGraph)
2K,93.8746761530638,1.10335957031177,Baseline (iGraph)
3K,231.569766998291,1.24856522955118,Baseline (iGraph)
4K,533.795309718698,4.14520106235594,Baseline (iGraph)
5K,924.817195627838,5.15942533867388,Baseline (iGraph)
6K,2100.239939522,9.92367017446007,Baseline (iGraph)
7K,2157.13638206944,10.9309672017836,Baseline (iGraph)
8K,4197.48802715913,12.2698696156762,Baseline (iGraph)
9K,4613.57769044116,13.6949149733155,Baseline (iGraph)
10K,6022.82595727593,15.183731795677,Baseline (iGraph)
11K,8913.68629457429,16.4601690955009,Baseline (iGraph)
12K,17057.5551255606,10.3453608357285,Baseline (iGraph)
