num_nodes,med,low,high,std_dev
1000,311.2743548117578,308.9229539036751,360.81900261342525,5.1065877188173
2000,313.4065242484212,311.43586058169603,350.16302298754454,3.747680382315262
3000,410.80131800845265,389.2297549173236,429.88311126828194,12.848835243167283
4000,463.85641349479556,441.2882449105382,491.2675619125366,12.444372093695748
5000,632.045688573271,605.6920886039734,659.7807630896568,15.234264390065036
6000,727.3380714468658,706.392914056778,759.0645020827651,14.822048107329596
7000,845.3245009295642,815.9256270155311,872.730890288949,15.751723149553534
8000,959.5037014223635,926.1271553114057,980.4830718785524,15.978620480234094
9000,1032.6486858539283,1002.6935543864965,1055.4350474849343,15.094509541544133
10000,1174.472076818347,1150.662349537015,1199.9027552083135,13.640754619075334
11000,1261.4824008196592,1235.965578816831,1329.9395721405745,15.73428867582347
12000,1336.8304874747992,1306.9218201562762,1361.626572906971,12.998749845224742
